,brand,model,model_target_ratings
90,clarisonic/科莱丽,SPU,"{'功能': {'提拉': 34.96, '眼袋': 45.4, '粉刺': 18.58, '光泽度': 37.51, '去黑头': 25.85, '法令纹': 22.73, '清洁度': 30.69, '毛孔粗大': 25.69}, '服务': {'包装': 26.91, '卖家': 20.11, '客服': 33.91, '态度': 25.59, '顺丰': 41.07, '说明书': 29.57, '有问必答': 37.51}, '款式': {'智能': 0.0, '机身': 40.43, '触感': 0.0, '颜色': 21.31, '二合一': 0.0, '按摩器': 37.51}, '质量': {'做工': 29.28, '刷毛': 50.87, '声波': 0.0, '声音': 53.0, '材质': 34.96, '质感': 39.41, '质量': 14.18, '重量': 58.23}}"
91,comface/蔻肤,X1,"{'功能': {'污垢': 28.52}, '服务': {'包装': 14.09, '态度': 11.47}, '款式': {}, '质量': {'刷毛': 27.53, '质感': 31.53, '质量': 12.89}}"
92,comface/蔻肤,XI-2,"{'功能': {'去黑头': 31.46}, '服务': {'态度': 11.47}, '质量': {'做工': 29.28, '吸力': 18.04, '质量': 12.89}}"
93,cosbeauty/可思美,CB-018-R01,"{'功能': {'提拉': 29.57, '水嫩': 18.58, '污垢': 31.16, '脂肪粒': 30.69, '干性皮肤': 0.0}, '服务': {'包装': 21.1, '卖家': 15.64, '发票': 0.0, '客服': 24.23, '态度': 22.24, '顺丰': 54.77, '售后服务': 34.96, '有问必答': 47.96}, '款式': {'机身': 46.1, '面积': 45.4, '颜色': 32.4, '超声波': 33.8}, '质量': {'做工': 38.99, '声音': 47.77, '质感': 27.21, '质量': 21.21, '重量': 58.23, '电流声': 0.0}}"
94,dr.arrivo,12,
95,cosbeauty/可思美,CB-023-01,"{'功能': {'眼袋': 45.4, '祛皱': 25.69, '贴合': 0.0, '法令纹': 26.12, '黑眼圈': 41.07}, '服务': {'包装': 16.39, '态度': 11.47}, '款式': {'线条': 28.87}, '质量': {'主机': 0.0, '做工': 27.34, '质感': 31.53, '安全性': 0.0}}"
96,crashers/傲客,AK-11,"{'功能': {'污垢': 33.59, '粉刺': 42.82, '通透': 47.96, '去黑头': 43.45, '脂肪粒': 30.69, '效果显著': 0.0}, '服务': {'包装': 38.47, '卖家': 29.59, '客服': 28.8, '态度': 46.37}, '款式': {'三档': 41.07, '体积': 60.87, '档位': 43.86, '白色': 21.77, '三件套': 0.0}, '质量': {'做工': 37.53, '光照': 47.96, '力道': 50.87, '变粗': 0.0, '吸力': 63.78, '声音': 46.02, '材质': 34.96, '质感': 35.56, '质量': 43.43, '配件': 40.43}}"
97,crashers/傲客,ST-H309,"{'功能': {'紧致': 19.66, '法令纹': 22.73, '黑眼圈': 41.07}, '服务': {'包装': 12.8, '态度': 13.07}, '款式': {}, '质量': {'做工': 31.1, '质量': 12.89}}"
98,dr.arrivo,MASK THE ZEUS,
99,dearfere,DF-1FB,"{'功能': {'上妆': 27.53, '干纹': 0.0, '提拉': 23.62, '水嫩': 18.58, '水肿': 47.96, '眼袋': 53.06, '紧致': 35.62, '细纹': 49.24, '光泽度': 37.51, '抬头纹': 43.86, '法令纹': 48.73, '鱼尾纹': 0.0, '黑眼圈': 41.07}, '服务': {'包装': 51.0, '包裹': 37.51, '卖家': 25.33, '客服': 44.42, '态度': 39.06, '顺丰': 47.96, '说明书': 29.57, '售后服务': 16.74, '有问必答': 47.96}, '款式': {'便携': 21.77, '大气': 33.8, '按键': 28.87, '熨斗': 0.0, '电波': 0.0, '电流': 60.15, '红光': 47.96, '线条': 37.51, '面积': 79.16, '颜色': 21.31, '胶原蛋白': 0.0}, '质量': {'做工': 54.93, '功率': 31.87, '声音': 49.51, '射频': 58.23, '强度': 45.4, '材质': 34.96, '质感': 43.13, '质量': 22.03, '重量': 47.96, '安全性': 0.0}}"
100,dearfere,LB-D,"{'功能': {'紧致': 19.66}, '服务': {'包装': 12.8, '态度': 13.07}, '款式': {'面积': 45.4}, '质量': {'做工': 27.34}}"
101,deerma/德尔玛,JM136,"{'功能': {'水嫩': 18.58}, '服务': {'客服': 18.46}}"
102,deess/蒂丝,A808,
103,deess/蒂丝,GP582-SR,"{'功能': {'发烫': 0.0}, '服务': {'包装': 12.8, '卖家': 15.64, '客服': 18.46, '态度': 11.47}, '款式': {'机型': 0.0}, '质量': {'质量': 12.89}}"
104,deesse,SBT-MLLT13,"{'功能': {'水嫩': 34.74, '痘印': 33.32, '紧致': 19.66, '色斑': 0.0, '补水': 32.7, '脂肪粒': 30.69}, '服务': {'包装': 35.67, '卖家': 22.0, '客服': 24.23, '态度': 29.87, '顺丰': 41.07}, '款式': {'蓝光': 34.48}, '质量': {'做工': 36.02, '光照': 54.77, '质感': 31.53, '质量': 38.63}}"
105,deesse,红蓝光LED面罩,"{'功能': {'上妆': 27.53, '变白': 0.0, '斑点': 25.69, '痘印': 33.32, '祛皱': 35.3, '紧致': 19.66, '毛孔粗大': 47.96}, '服务': {'包装': 19.36, '卖家': 15.64, '客服': 27.37, '态度': 26.36, '换货': 0.0, '售后服务': 34.96}, '款式': {'粉色': 25.69, '红光': 30.69}, '质量': {'做工': 37.53, '光照': 61.77, '质感': 31.53, '质量': 16.49, '气色好': 0.0, '穿透性': 40.43}}"
106,deparee/蒂巴蕾,6801,"{'功能': {'水嫩': 18.58, '眼袋': 28.87, '细纹': 18.58, '赘肉': 0.0}, '服务': {'包装': 15.28, '卖家': 20.11, '客服': 25.85, '态度': 15.85}, '款式': {'按键': 28.87, '熨斗': 0.0, '颜色': 12.29, '超声波': 33.8}, '质量': {'声音': 49.51, '质感': 31.53, '质量': 12.89}}"
107,dewos/德沃思,335,{'质量': {'质量': 12.89}}
108,deparee/蒂巴蕾,7901,"{'功能': {'眼袋': 45.4, '紧致': 23.79, '黑眼圈': 41.07, '冷热交替': 0.0}, '服务': {'包装': 14.09, '客服': 20.57}, '款式': {'白色': 32.7}, '质量': {'做工': 29.28, '用电': 0.0, '质量': 18.52}}"
109,deparee/蒂巴蕾,9901A,"{'功能': {'眼袋': 45.4}, '服务': {'包装': 12.8, '客服': 18.46}, '款式': {'按键': 45.4}}"
110,deparee/蒂巴蕾,C801,"{'功能': {'上妆': 27.53, '冰敷': 18.58, '提拉': 16.74, '水嫩': 25.69, '污垢': 33.59, '瘦脸': 42.07, '紧致': 19.66, '细纹': 33.32, '去黑头': 30.16, '法令纹': 22.73}, '服务': {'包装': 23.46, '卖家': 18.01, '客服': 24.23, '态度': 23.13}, '款式': {'体积': 28.87, '机型': 0.0, '电流': 28.02, '红光': 43.86, '蓝光': 34.48, '黑色': 53.06}, '质量': {'做工': 27.34, '强度': 45.4, '滚珠': 0.0, '质感': 39.41, '质量': 24.3}}"
111,deparee/蒂巴蕾,CS-608H,"{'功能': {}, '服务': {'包装': 23.46, '包裹': 37.51, '卖家': 15.64, '客服': 22.48, '态度': 23.13}, '款式': {'双头': 0.0, '颜色': 21.31, '按摩器': 37.51, '按摩棒': 0.0}, '质量': {'做工': 27.34, '质感': 22.49, '质量': 22.81}}"
112,dewos/德沃思,N338,
113,deparee/蒂巴蕾,CS-680,"{'功能': {'屏幕': 47.96, '污垢': 31.16, '眼袋': 45.4, '祛皱': 35.3, '紧致': 27.26}, '服务': {'包装': 19.36, '卖家': 18.01, '客服': 18.46, '态度': 23.13}, '款式': {'彩光': 0.0, '成分': 0.0, '电流': 28.02, '红光': 43.86, '面积': 28.87, '颜色': 24.6, '按摩器': 37.51}, '质量': {'做工': 27.34, '质感': 35.56, '质量': 19.46}}"
114,derma w,DERMAWAND,"{'功能': {'上妆': 21.77, '祛皱': 35.3, '法令纹': 31.77}}"
115,derma w,DERMAWAND射频注氧棒,"{'功能': {'上妆': 46.5, '干纹': 0.0, '微针': 0.0, '提拉': 39.99, '痘印': 28.87, '眼袋': 53.06, '祛皱': 60.34, '粉刺': 25.69, '紧致': 27.26, '细纹': 37.51, '去角质': 0.0, '去黑头': 28.8, '抬头纹': 69.31, '法令纹': 72.89, '消水肿': 0.0, '表情纹': 0.0, '黑眼圈': 15.89, '毛孔粗大': 47.96, '血液循环': 0.0}, '服务': {'包装': 36.63, '卖家': 22.0, '客服': 24.23, '态度': 33.0, '有问必答': 37.51}, '款式': {'档位': 30.69, '熨斗': 0.0, '电流': 20.64, '纹路': 59.73}, '质量': {'做工': 22.9, '吸力': 13.74, '声音': 21.31, '好痛': 0.0, '射频': 69.31, '强度': 45.4, '材质': 34.96, '盖子': 0.0, '质感': 22.49, '质量': 22.81, '电流声': 0.0}}"
116,derma w,TDX2440,"{'功能': {'干纹': 0.0, '抗皱': 0.0, '祛皱': 30.69, '笑纹': 0.0, '细纹': 33.32, '去角质': 0.0, '抬头纹': 30.69, '法令纹': 36.55, '鱼尾纹': 0.0, '黑眼圈': 41.07, '皮肤干燥': 0.0}, '服务': {'包装': 12.8, '客服': 18.46, '态度': 13.07}, '款式': {'机身': 34.48, '档位': 30.69, '电流': 31.34, '纹路': 50.87}, '质量': {'声音': 38.67, '射频': 58.23, '质量': 35.82, '电流声': 0.0, '耐受性': 0.0}}"
117,derma w,红光射频,"{'功能': {'祛皱': 30.69, '细纹': 24.02, '法令纹': 22.73}, '服务': {'包装': 12.8, '卖家': 12.87, '态度': 11.47}}"
118,dermaroller,DERMAWAND射频注氧棒,"{'服务': {'包装': 12.8, '卖家': 12.87, '态度': 11.47}}"
119,dewos/德沃思,202,"{'功能': {'嫩肤': 0.0, '斑点': 47.96, '水嫩': 34.74, '痘印': 37.51, '色斑': 0.0, '血丝': 0.0, '光泽度': 37.51, '去黑头': 27.37, '实用性': 80.76, '黑眼圈': 41.07, '无副作用': 0.0, '省时省力': 0.0}, '服务': {'包装': 74.38, '包裹': 53.06, '卖家': 61.42, '口碑': 0.0, '客服': 42.46, '态度': 67.84, '快递员': 0.0, '说明书': 34.96, '售后服务': 29.57, '有问必答': 37.51}, '款式': {'大气': 54.77, '彩光': 0.0, '按键': 45.4, '时尚': 58.23, '红光': 43.86, '蓝光': 34.48, '颜色': 24.6}, '质量': {'亮度': 0.0, '做工': 78.52, '光照': 69.31, '声音': 53.0, '接口': 47.96, '材质': 64.01, '设备': 37.51, '质量': 87.17, '配件': 34.48, '安全性': 0.0}}"
120,dewos/德沃思,203,"{'服务': {'态度': 13.07}, '质量': {'质量': 12.89}}"
121,dewos/德沃思,301,"{'功能': {'去黑头': 28.8}, '服务': {'包装': 33.7, '卖家': 18.01, '客服': 20.57, '态度': 27.82, '售后服务': 29.57}, '款式': {}, '质量': {'做工': 29.28, '吸力': 13.74, '声音': 53.0, '材质': 34.96, '质量': 43.85}}"
122,dewos/德沃思,302,
123,dewos/德沃思,305,"{'服务': {'包装': 12.8, '卖家': 12.87, '态度': 13.07}, '质量': {'声音': 49.51}}"
124,dewos/德沃思,N18,"{'功能': {'伤疤': 0.0, '保湿': 53.06, '水嫩': 79.16, '水润': 0.0, '紧致': 19.66, '补水': 59.73, '法令纹': 22.73, '效果显著': 0.0, '毛孔堵塞': 0.0}, '服务': {'包装': 83.56, '包裹': 69.31, '卖家': 47.31, '客服': 30.16, '态度': 63.26, '说明书': 29.57, '售后服务': 29.57}, '款式': {'大气': 33.8, '时尚': 47.96, '机身': 34.48, '颜色': 27.46, '方便使用': 0.0}, '质量': {'做工': 76.05, '材质': 44.81, '设备': 47.96, '质感': 39.41, '质量': 78.01, '安全性': 0.0, '稳定性': 0.0}}"
125,dewos/德沃思,N201,{'款式': {'机身': 34.48}}
126,kadas/卡丹斯,1008,{'服务': {'包装': 8.1}}
127,dewos/德沃思,NB503,"{'服务': {'包装': 14.09, '态度': 11.47}, '款式': {}, '质量': {'做工': 27.34, '设备': 37.51, '质量': 21.21}}"
128,dewos/德沃思,超声波美容仪,"{'功能': {'斑点': 37.51, '水嫩': 58.23, '水润': 0.0, '瘦脸': 59.73, '祛皱': 20.1, '紧致': 61.61, '细纹': 33.32, '腰围': 0.0, '雾化': 37.51, '光泽度': 37.51, '去黑头': 16.06, '法令纹': 22.73, '渗透性': 50.87, '白嫩嫩': 0.0, '鱼尾纹': 0.0, '效果显著': 0.0, '无副作用': 0.0, '皮肤干燥': 0.0}, '服务': {'信誉': 58.23, '包装': 91.83, '包裹': 79.16, '包邮': 0.0, '卖家': 84.67, '口碑': 0.0, '客服': 44.42, '态度': 89.22, '说明书': 29.57, '办事效率': 0.0, '有问必答': 37.51, '服务到位': 0.0, '热情周到': 0.0}, '款式': {'便携': 21.77, '大气': 77.95, '按键': 45.4, '时尚': 69.31, '超声波': 33.8}, '质量': {'做工': 88.86, '功率': 18.58, '声音': 90.61, '材质': 81.78, '疗效': 0.0, '设备': 83.01, '质感': 31.53, '质量': 91.9, '重量': 58.23, '音质': 0.0, '安全性': 0.0, '电流声': 0.0, '穿透性': 40.43, '美容器': 0.0, '节省时间': 0.0}}"
129,dr.arrivo,DR FLAWLESS,"{'功能': {}, '服务': {'态度': 11.47}}"
130,dh day-health,X-69,"{'功能': {'水嫩': 18.58}, '服务': {'包装': 21.92, '卖家': 25.33, '客服': 36.2, '态度': 33.59, '快递员': 0.0}, '款式': {'便携': 32.7, '充电式': 0.0, '按摩器': 37.51, '排毒仪': 0.0}, '质量': {'做工': 32.82, '动力': 37.51, '声音': 47.77, '强度': 28.87, '质感': 31.53, '质量': 33.83}}"
131,dh day-health,X699,"{'功能': {}, '服务': {'客服': 20.57}, '款式': {'颜色': 21.31}, '质量': {'功率': 31.87, '动力': 43.86, '质量': 14.18}}"
132,diaro,HT8828,"{'功能': {'污垢': 22.24, '补水': 32.7, '去黑头': 52.02}, '服务': {'包装': 28.16, '卖家': 15.64, '客服': 20.57, '态度': 19.31}, '款式': {'时尚': 37.51}, '质量': {'做工': 27.34, '动力': 43.86, '变粗': 0.0, '吸力': 43.38, '质感': 31.53, '质量': 33.32}}"
133,dione/蒂欧尼,T8S,"{'功能': {'污垢': 80.06, '去黑头': 67.64, '脂肪粒': 33.49, '毛孔堵塞': 0.0}, '服务': {'包装': 75.78, '包裹': 37.51, '卖家': 63.51, '客服': 44.42, '态度': 54.29, '电话': 0.0}, '款式': {'三档': 54.77, '体积': 45.4, '便携': 21.77, '吸头': 46.5, '时尚': 37.51, '档位': 43.86, '气泡': 0.0, '黑色': 53.06, '小气泡': 40.43}, '质量': {'做工': 58.98, '力道': 50.87, '功率': 37.51, '动力': 50.0, '吸力': 75.98, '塑料': 0.0, '声音': 58.38, '接口': 83.01, '材质': 49.53, '质感': 31.53, '质量': 62.77, '配件': 84.52, '电池容量': 0.0, '节省时间': 0.0}}"
134,dpc,10037000,"{'服务': {'包装': 12.8, '包邮': 0.0, '卖家': 18.01}, '款式': {}, '质量': {'做工': 27.34}}"
135,dpc,DR.PEN,
136,dr.arrivo,ARTEMIS,"{'功能': {'上妆': 27.53, '水嫩': 18.58, '祛皱': 35.3, '紧致': 23.79, '光泽度': 37.51, '法令纹': 26.12}, '服务': {'包装': 17.44, '卖家': 23.73, '态度': 17.08, '顺丰': 41.07}, '款式': {'三档': 54.77, '体积': 37.51, '大气': 41.07, '线条': 37.51, '三件套': 0.0}, '质量': {'射频': 47.96, '质量': 12.89}}"
137,dr.arrivo,DR. ARRIVO GHOST,"{'功能': {'抗皱': 0.0, '提拉': 34.96, '紧致': 30.31, '细纹': 33.32, '法令纹': 38.74}, '服务': {'包装': 19.36, '卖家': 25.33, '客服': 27.37, '态度': 18.23, '直邮': 0.0, '说明书': 29.57}, '款式': {'彩光': 0.0, '档位': 43.86, '电流': 31.34}, '质量': {'做工': 27.34, '功率': 42.82}}"
138,dr.arrivo,DR. ARRIVO GHOST PREMIUM,"{'功能': {'提拉': 29.57}, '服务': {'说明书': 29.57, '售后服务': 29.57}, '质量': {'做工': 27.34, '质感': 31.53}}"
139,dr.arrivo,DR.CAVIET GHOST PLUS,
140,dr.arrivo,DR.FRESCO,{'功能': {'去黑头': 30.16}}
141,dr.arrivo,DR.FRESCO FION,"{'功能': {'去黑头': 30.16}, '服务': {'态度': 11.47}, '款式': {}}"
142,dr.arrivo,FLAWLESS,{'质量': {'疼痛感': 0.0}}
143,dr.arrivo,GHOST,"{'功能': {'提拉': 23.62, '水嫩': 22.28, '瘦脸': 42.07, '眼袋': 60.87, '祛皱': 35.3, '紧致': 27.26, '法令纹': 34.24, '鱼尾纹': 0.0, '黑眼圈': 41.07}, '服务': {'包装': 16.39, '卖家': 18.01, '客服': 18.46, '态度': 15.85}, '款式': {'三档': 47.96, '电流': 40.43, '面积': 45.4}, '质量': {'刺痛': 47.96, '功率': 37.51, '质量': 14.18}}"
144,dr.arrivo,HN-200PL,
145,dr.arrivo,MISS ARRIVO GHOST,"{'功能': {}, '服务': {'包装': 17.44, '卖家': 18.01, '客服': 22.48, '态度': 18.23, '语气': 0.0, '说明书': 29.57}, '质量': {'底座': 59.73, '安全性': 0.0}}"
146,dr.arrivo,PREMIUM,"{'功能': {'法令纹': 22.73}, '款式': {'电流': 46.1}}"
147,dr.arrivo,VEGAS,"{'功能': {'微红': 0.0, '提拉': 29.57, '水嫩': 18.58, '祛皱': 35.3, '紧致': 19.66, '细纹': 37.51, '实用性': 42.07, '法令纹': 22.73, '表情纹': 0.0, '鱼尾纹': 0.0, '黑眼圈': 41.07}, '服务': {'包装': 18.42, '卖家': 15.64, '客服': 27.37, '态度': 20.34}, '款式': {'时尚': 37.51, '机身': 28.02, '电流': 28.02, '红色': 58.23}, '质量': {'材质': 34.96, '盖子': 0.0}}"
148,dr.arrivo,VEGAS PREMIUM,
149,dr.arrivo,ZEUS,"{'功能': {'上妆': 32.7, '提拉': 39.99, '泛红': 0.0, '痘印': 41.51, '瘦脸': 50.87, '眼袋': 53.06, '祛皱': 39.66, '紧致': 35.62, '细纹': 37.51, '光泽度': 37.51, '法令纹': 54.52, '脂肪粒': 24.63, '表情纹': 0.0, '鱼尾纹': 0.0, '黑眼圈': 33.8}, '服务': {'包装': 26.26, '卖家': 30.87, '客服': 32.71, '态度': 27.1, '良心': 0.0, '快递员': 0.0, '售后服务': 29.57}, '款式': {'三档': 33.8, '成分': 0.0, '机身': 34.48, '电流': 54.46, '纹路': 42.07, '线条': 28.87}, '质量': {'做工': 29.28, '功率': 31.87, '吸力': 13.74, '强度': 45.4, '质感': 35.56, '质量': 14.18, '含水量': 0.0, '耐受性': 0.0}}"
150,dr.arrivo,第五代,"{'功能': {'提拉': 34.96, '水嫩': 18.58, '紧致': 27.26, '色斑': 0.0, '赘肉': 0.0, '法令纹': 31.77, '黑眼圈': 41.07}, '服务': {'包装': 12.8, '卖家': 23.73, '客服': 22.48, '态度': 15.85, '售后服务': 29.57}, '款式': {'电流': 28.02, '红光': 43.86}, '质量': {'做工': 27.34, '材质': 23.62, '质感': 27.21, '质量': 14.18}}"
151,dr．bauer,360°美人机,"{'功能': {'上妆': 27.53, '提拉': 29.57, '祛皱': 35.3, '细纹': 24.02, '光泽度': 37.51, '抬头纹': 50.0, '法令纹': 31.77, '黑眼圈': 47.96}, '服务': {'包装': 20.25, '卖家': 20.11, '发票': 0.0, '客服': 27.37, '态度': 22.24, '售后服务': 29.57}, '款式': {'白色': 32.7}, '质量': {'做工': 29.28, '射频': 47.96, '质量': 16.49, '气色好': 0.0}}"
152,dr．bauer,RF射频逆肌龄二代,"{'功能': {'上妆': 27.53, '微红': 0.0, '提拉': 39.99, '祛皱': 25.69, '紧致': 50.87, '细纹': 24.02, '雀斑': 0.0, '去黑头': 30.16, '抬头纹': 43.86, '法令纹': 31.77, '黑眼圈': 33.8}, '服务': {'包装': 21.92, '卖家': 18.01, '发票': 0.0, '客服': 24.23, '良心': 0.0}, '款式': {'金色': 0.0, '面积': 45.4}, '质量': {'做工': 29.28, '吸力': 13.74, '声音': 53.0, '接口': 69.31, '质量': 16.49, '重量': 58.23, '美容器': 0.0}}"
153,dr．bauer,女神童颜机,"{'功能': {'上妆': 27.53, '嫩肤': 0.0, '干纹': 0.0, '微红': 0.0, '水嫩': 18.58, '淡斑': 0.0, '眼袋': 45.4, '祛皱': 43.86, '紧致': 35.62, '细纹': 41.51, '补水': 37.51, '去角质': 0.0, '去黑头': 25.85, '抬头纹': 43.86, '法令纹': 18.69, '黑眼圈': 54.77, '毛孔粗大': 25.69}, '服务': {'包装': 17.44, '卖家': 18.01, '客服': 37.3, '态度': 27.1, '顺丰': 47.96, '售后服务': 44.81}, '款式': {'面积': 45.4}, '质量': {'做工': 27.34, '吸力': 13.74, '声音': 47.77, '射频': 47.96, '气味': 0.0, '质感': 31.53, '质量': 15.37, '配件': 34.48, '安全性': 0.0, '气色好': 0.0, '耐受性': 0.0}}"
154,dr．bauer,射频童颜机,"{'功能': {'紧致': 19.66}, '服务': {'包装': 12.8, '客服': 18.46}, '质量': {'做工': 27.34, '质量': 12.89}}"
155,dr．bauer,射频逆肌龄,"{'功能': {'上妆': 37.51, '提拉': 34.96, '痘印': 28.87, '眼袋': 53.06, '祛皱': 35.3, '紧致': 27.26, '细纹': 24.02, '法令纹': 22.73}, '服务': {'信誉': 58.23, '包装': 22.71, '卖家': 22.0, '客服': 25.85, '态度': 19.31, '顾问': 0.0}, '款式': {'白色': 32.7, '红光': 43.86}, '质量': {'做工': 31.1, '射频': 47.96, '质量': 19.46, '面色': 0.0, '美容器': 0.0}}"
156,dr．bauer,激活明眸射频仪,"{'功能': {'眼袋': 45.4, '祛皱': 30.69, '细纹': 28.87, '黑眼圈': 15.89, '血液循环': 0.0}, '服务': {'包装': 21.1, '卖家': 18.01, '客服': 25.85, '态度': 21.31, '顾问': 0.0, '售后服务': 34.96}, '款式': {'档位': 43.86, '白色': 32.7, '金色': 0.0, '颜色': 21.31}, '质量': {'做工': 27.34, '功率': 25.69, '质感': 31.53, '质量': 21.21}}"
157,dr．bauer,逆肌龄面部套餐,"{'功能': {'上妆': 21.77, '微红': 0.0, '提拉': 44.81, '斑点': 37.51, '眼袋': 18.58, '祛皱': 35.3, '紧致': 48.8, '细纹': 33.32, '补水': 46.5, '雀斑': 0.0, '光泽度': 37.51, '去黑头': 27.37, '抬头纹': 43.86, '法令纹': 42.87, '清洁度': 30.69, '黑眼圈': 47.96}, '服务': {'包装': 22.71, '卖家': 20.11, '发票': 0.0, '客服': 37.3, '态度': 23.13, '良心': 0.0, '说明书': 29.57, '售后服务': 34.96}, '款式': {'面积': 45.4}, '质量': {'做工': 31.1, '功率': 31.87, '质感': 31.53, '质量': 15.37, '配件': 34.48, '重量': 58.23}}"
158,emily stone,微电流美容仪,{'质量': {'滚珠': 0.0}}
159,everbab,EB0014,"{'功能': {'去黑头': 38.37, '脂肪粒': 27.74}, '服务': {'包装': 20.25, '卖家': 12.87, '态度': 11.47, '说明书': 16.74}, '款式': {}, '质量': {'声音': 49.51, '质感': 35.56, '质量': 15.37, '使用寿命': 0.0}}"
160,everbab,红蓝光LED面罩,"{'功能': {'粉刺': 37.51, '去黑头': 32.71}, '服务': {'包装': 18.42, '卖家': 15.64, '客服': 18.46, '态度': 11.47}, '质量': {'力道': 32.7, '声音': 49.51, '质量': 11.48}}"
161,exideal,E-120 / E-280,
162,exideal,EX-120,"{'功能': {'效果显著': 0.0}, '服务': {'口碑': 0.0, '态度': 13.07}, '质量': {'亮度': 0.0, '做工': 27.34, '颗粒': 0.0}}"
163,exideal,EX-280,"{'功能': {'光泽度': 37.51}, '服务': {'包装': 26.26, '包邮': 0.0, '卖家': 26.83, '客服': 20.57, '态度': 23.98, '顺丰': 41.07}, '款式': {'支架': 0.0, '面积': 45.4}, '质量': {'做工': 41.79, '质感': 35.56, '质量': 15.37}}"
164,exideal,LED,{'服务': {'卖家': 15.64}}
165,fanbeauty,TR-162,"{'功能': {'上妆': 21.77, '保湿': 45.4, '发烫': 0.0, '微热': 0.0, '提拉': 75.13, '水嫩': 42.82, '水润': 0.0, '眼袋': 37.51, '粉刺': 25.69, '紧致': 55.02, '细纹': 33.32, '补水': 42.07, '光泽度': 37.51, '去角质': 0.0, '法令纹': 52.58, '渗透性': 32.7, '黑眼圈': 41.07, '皮肤过敏': 0.0}, '服务': {'包装': 58.43, '卖家': 15.64, '客服': 38.37, '态度': 34.75, '语气': 0.0, '顺丰': 61.77, '注意事项': 0.0}, '款式': {'大气': 33.8, '弧度': 0.0, '形状': 0.0, '按键': 45.4, '机身': 28.02, '档位': 43.86, '磨砂': 0.0, '粉色': 30.69, '紫色': 0.0, '红光': 56.14, '线条': 53.06, '绿色': 0.0, '面积': 45.4, '颜色': 21.31, '充电式': 0.0, '按摩器': 37.51, '红外线': 0.0}, '质量': {'做工': 27.34, '声音': 49.51, '射频': 47.96, '底座': 59.73, '温控': 0.0, '质感': 73.7, '质量': 20.35, '重量': 25.69, '提示音': 0.0}}"
